"","GSM8093099_E2477-1_PrimeView_.CEL","GSM8093100_E2477-2_PrimeView_.CEL","GSM8093101_E2477-3_PrimeView_.CEL","GSM8093102_E2478-1_PrimeView_.CEL","GSM8093103_E2478-2_PrimeView_.CEL","GSM8093104_E2478-3_PrimeView_.CEL"
"SCAND1",9.94307418963235,9.84269047402428,9.94472747836863,9.94712134764523,9.9958627443078,10.0414542408853
"DUX1 /// DUX3 /// DUX5",3.67809810797665,3.7564589201398,3.85341630052643,3.79390159113966,3.86611901084831,3.70477743283982
"MARK4",4.0042472225075,3.99391058551626,4.20968398205379,4.11581810306049,3.98316696842416,4.40704972632809
"GRK7",4.18605899311966,3.86954339758313,3.78239313258065,3.90059785809087,4.03511386549106,3.77452715253339
"UGT2B28",3.01142255041505,2.98923161103124,3.04594413064689,3.15574316617192,3.17158953567398,3.16827989955665
"MOGAT2",3.8995643912139,4.10326084655145,4.10600080000425,4.17348284104088,4.20223452651189,4.04476436468947
"FAM127A",11.285133387172,11.3285545717021,11.3396841884392,10.0143542764865,10.0159667293381,9.9749029367376
"HIST1H2AI",4.18130120258565,4.21765941543653,4.06325130256891,4.62168767926944,4.57172029091992,4.46337549087507
"C2orf44",7.82234634500075,7.70824900229711,7.71179991848453,8.01840169698135,8.01340437460942,8.08388392365596
"NSUN5",8.09453153940275,8.04453184234608,8.15318413302547,9.29205484518863,9.42781771481894,9.35121375291085
"MAGI3",7.32417214504081,7.43154749665885,7.43004749335191,7.27431274940771,7.36164100477085,7.40308052548393
"RNASE8",5.03143033325201,5.06011470210359,5.10023957047772,5.16720252967453,5.1076929655901,5.11776749563802
"ACOXL",4.66660419917997,4.68965569798613,4.65408288422988,4.68406058126951,4.67560100046811,4.59919190283063
"VPS54",8.75427805681789,8.69909935857386,8.78536310849936,8.37348421863056,8.27719988162158,8.3897963860335
"PCDHA6",4.40901962553003,4.3313106182567,4.55053790093344,4.47050193092585,4.34700821326745,4.5918429369524
"PCDHA7",4.84583921426258,5.20359365162615,4.97645756450583,5.09231863416781,5.05947615572465,5.30694211058213
"SLC51B",4.92609921533819,4.78626587558357,4.77848833788013,4.55849263356324,4.68367198849862,4.51055963750391
"GRIP2",4.72552444729153,4.44480439026942,4.49014592872962,4.66386022135559,4.77137799014586,4.65290751125964
"PARD6A",5.91728191847075,5.88491174562656,6.00559582556856,5.52995389726854,5.64154707368193,5.31124938520257
"RPL36",10.8654659809628,10.8716221414988,10.8850506480312,11.2189681615147,11.215139339138,11.239704602831
"RPL36",8.7651201018104,8.69171767041274,8.76028341532847,9.09795940818412,9.06666251738127,9.09343161470285
"SPATC1L",7.83362909552793,7.9353862244826,7.79971635059638,7.25080857252823,7.28502308410695,7.36036134862228
"UCN",6.74437295173223,6.75634116950181,6.52616501727765,7.11641355945694,6.938893529391,6.91288805666114
"UQCRHL",10.800153706449,10.7799197734262,10.8862475229602,10.792078992808,10.7165509667296,10.7940976712182
"PCDHGA12",3.66407177057739,3.7596390691447,3.8801309541793,3.59015120170235,3.65983108573797,3.69637656602594
"RPL9 /// RPL9P25 /// RPL9P32 /// RPL9P7 /// TIPIN",13.2355563995265,13.2131744232649,13.293503074104,13.3728950871655,13.2819087065634,13.3295074190287
"RPL9",12.8484908393829,12.8325069703215,12.8268444485232,13.0095556382403,12.9327882966932,12.9246247184786
"IFITM3",11.7306903574906,11.7285025085332,11.7416900347084,10.9741406036671,11.0767836093886,11.0533837599964
"ZNF184",6.31863903933639,6.04246508233004,6.23646033952636,8.09468931344242,8.13681398898336,8.08129305027027
"LCE1D",8.73127071028326,8.67063621485714,8.71408116054799,8.70663195495912,8.68440759747713,8.68956140331195
"LCE3D",5.37203858955145,5.39893421707824,5.46527378741703,5.48981502712283,5.44121810505547,5.49372458953954
"LCE1F",7.37307256760366,7.38459454084644,7.25788795482398,7.38151470805317,7.39020026937384,7.3183621111888
"LCE1A",8.37072688491762,8.24811950759161,8.30579748990025,8.4224820446147,8.33336065062038,8.35991189812647
"IGLL1",4.97960883929272,4.54076673666469,4.55868067034926,4.65227635387708,4.65869931771106,4.58600572554969
"ADGRB1",6.3529747339246,6.0385691062522,6.12586871920738,6.21615989356139,6.14043522108873,6.24658144027531
"DEPDC5",6.18613158105976,6.29374071863383,6.46140444252105,5.7595378638659,5.87515156983851,5.80478009790722
"CRISP2",3.25213798591772,3.22506122095044,3.19846491069754,3.20250863140558,3.25146067390185,3.13329259745599
"MAGEA12",7.17714669448065,7.24448472109285,7.29163698606787,7.31374566779669,7.39857810649596,7.31405333235118
"KIAA0825",3.68788800153629,3.62813143764275,3.92528407143167,4.44137587688175,4.68167667433991,4.3701110932136
"CHST7",7.30530664120517,7.42166183769904,7.30530664120517,6.68816322494023,6.41218702130142,6.77355144710422
"RSRC1",8.80145809878014,8.76199345104093,8.63244422016277,8.32687738994693,8.40287666850174,8.23264164114302
"KRTAP10-10 /// KRTAP10-6",7.75225468840379,7.65295993712889,7.68074193288135,7.62748830788505,7.64517915112788,7.50586543481641
"DEFB134 /// LOC105379765",4.51339393872517,4.47556783727134,4.48050466062378,4.59587300282777,4.54671521485971,4.52537724904096
"TAS2R30",3.4666462567942,3.47957050549194,3.43122020256381,3.43614462110525,3.46172486008443,3.43793732465857
"XAGE3",3.99585995510957,3.85027656900764,4.09264907729458,3.79627929308218,3.86809084918777,3.98700977960518
"XAGE3",3.89201192519628,3.9491113163513,4.08649436077749,3.90611910736982,3.9875915584878,3.79061785508537
"PTMS",8.0309392862967,8.11540842657645,8.09882464565776,7.24366363366087,7.2609144852468,7.15672571259756
"IFNA5",3.52025300010828,3.77625389698591,3.42737609286867,3.33652541967589,3.61690432604967,3.3774375664829
"RRNAD1",7.31847375668636,7.25875497459547,7.19864732980372,8.51110530065622,8.43905652536847,8.4398238190102
"HNRNPCL2 /// HNRNPCL3 /// HNRNPCL4",3.43732344320615,3.31343618089739,3.60145302354852,3.51649862975118,3.52562981634648,3.41763096836942
"MTNR1A",5.01583674850095,5.16056489159839,5.22382988333814,5.28511315391344,5.29402225182611,5.20593904897462
"SPEF2",3.53233180689561,3.90406823287949,3.79276191552829,4.43293282112216,4.17582696354956,3.91058060886533
"UTS2R",7.79956051226655,7.77238639618411,7.7568979850973,7.62897159955824,7.62047968521519,7.64416760659229
"FIG4",6.95944686478519,6.97848532905181,7.0268005379017,6.88207226375818,7.04949717137643,7.07986278977119
"PKD1L3",3.75642022419645,3.49542124544856,3.7168112421064,3.62202594447497,3.4903484175123,3.46394776827069
"EPPK1",3.37881413468897,3.2356018516352,3.32801285605919,3.36001227383438,3.61857844213666,3.48448361910952
"GP1BB /// SEPT5 /// SEPT5-GP1BB",5.76820545441375,5.84448048944276,5.96155809284831,5.79512111344615,5.75099730188453,5.56066049331633
