"X","GSM8093099_E2477.1_PrimeView_.CEL","GSM8093100_E2477.2_PrimeView_.CEL","GSM8093101_E2477.3_PrimeView_.CEL","GSM8093102_E2478.1_PrimeView_.CEL","GSM8093103_E2478.2_PrimeView_.CEL","GSM8093104_E2478.3_PrimeView_.CEL"
"NADSYN1",7.76233672952559,7.80514791000069,7.7710944882062,6.76539753938078,6.74045783599528,6.95044797731389
"NAE1",11.501753883897,11.4864148783967,11.4585395984498,10.8625718280818,10.887515447856,10.9063076021443
"NAF1",4.82554082373429,4.69514581110928,4.84469104694268,5.04457754614746,5.02498402080415,4.98507736541391
"NAGA",8.92070955911944,8.86930853346031,8.81988669877157,7.6661879698082,7.7015838472657,7.72123577841518
"NAGK",9.20684902762522,9.25743562103597,9.24737267235201,9.39659299208951,9.39123964070976,9.4372061590974
"NAGLU",7.37147435386953,7.45767178574305,7.3085145305577,7.45033791176952,7.58372647767853,7.60605161083278
"NAGPA",5.87784738801848,5.79710726167856,5.95086833934623,5.52852687860149,5.3238083789726,5.33118355223231
"NAGS",7.06881322128728,7.16980002772595,6.99891069731813,7.67086641876845,7.72599475972073,7.71636789786593
"NAIF1",5.66595104893489,5.76499475798038,5.76064729510481,6.50610657928791,6.38984810970613,6.63147307105163
"NAIP",5.90072261093013,5.99082674614161,5.93599917562694,6.16508899991371,6.09856446352026,6.2404028221058
"NALCN",6.89149445971335,6.89363244112863,6.87349519196407,6.59422157693577,6.59843514777612,6.63578145480782
"NAMPT",8.32377424560898,8.32837974564877,8.21216953174898,9.45823933895471,9.43587651194482,9.44794076229171
"NANOG",3.24460535327374,3.46154046715143,3.54344304080795,3.33052486492407,3.35489301582454,3.27901440318443
"NANOG /// NANOGP1 /// NANOGP8",4.32312666141724,4.56137080991067,4.38183096266009,4.343035029493,4.49953185761483,4.42123230232895
"NANOGNB",3.17271494744008,3.27851046411708,3.20195732183223,3.29733275615057,3.18220685791068,3.3487040518146
"NANOGP1",3.5840999666563,3.238843699919,3.39914722437901,3.60311843403176,3.58565769037781,3.4825637524302
"NANOS1",3.95278066370861,3.88389090319092,4.02301368600825,4.06641689758882,4.06679842865459,4.24176912460339
"NANOS2",5.29649559622291,5.29886851001904,5.2751893978448,5.25873015805346,5.13145264737573,5.19780810733887
"NANOS3",6.67077571720356,6.6686367353703,6.61581224709462,6.55929454854407,6.440271432036,6.37130528363302
"NANP",7.60254968203275,7.55465289448988,7.62042932891239,7.710356486002,7.68817613999514,7.86981460235967
"NANS",11.1066393591956,11.1245887835875,11.0736174862853,11.2386339342421,11.253843143105,11.2893887279772
"NAP1L1",11.3533095196585,11.3913185590137,11.3622423656386,10.9939885764518,11.0145274667669,10.9200642514532
"NAP1L2",3.28022304224616,3.29136837988436,3.25272217771437,3.36535565886041,3.42398703407266,3.40957476544363
"NAP1L3",5.33312099641397,5.53952505246357,5.44766041173193,5.23437309898514,5.33381993295157,5.30762343578152
"NAP1L4",10.6668069271936,10.5964918756608,10.6243216555785,9.91722568227401,9.92991517301695,9.93432006720226
"NAP1L5",5.23670020879496,5.23163111940927,5.31424666312658,6.52334947775727,6.47100328153192,6.61348036365321
"NAPA",7.35033345697615,7.36571422823981,7.32435601383179,7.83586417047654,7.80283192907411,7.85696100667246
"NAPB",6.17667526796196,6.17910555071929,6.12706553994939,7.18483164738677,7.21034653410545,7.21683805395613
"NAPEPLD",4.19200351415261,4.16861134836878,4.2279244757531,4.15973300050694,4.13701766296492,4.16588528970798
"NAPG",8.40014416517688,8.36591542854664,8.41611764546218,8.14562740143094,8.27939726265626,8.22363288206342
"NAPRT",8.40506755779232,8.21408646707817,8.15898060779188,7.5433891395176,7.66082562217044,7.70817878718266
"NAPSA",6.74916400253217,6.68705127804842,6.87815667893613,6.91312139797346,6.84903410867014,6.80969686744085
"NAPSB",4.4188896858912,4.4924078383818,4.40396566480866,4.33326334297691,4.51250439475742,4.33789141292904
"NARF",7.69225273136583,7.77018114136029,7.77166290390325,7.29818576067578,7.16222428206848,7.41853965183519
"NARFL",6.83958170907154,6.83524671401026,6.8186914275598,6.95600425357623,6.87182436037615,6.92112214632652
"NARS",11.2300071167103,11.2239070485072,11.2528011612043,11.0613295026513,11.0719995841795,11.0794145319781
"NARS2",9.31132897140698,9.29871659857789,9.30814881229905,10.0840803587417,10.122422013079,10.1187414341088
"NASP",9.79886076917837,9.70624095692884,9.84717318573843,8.45764079349073,8.4335402962624,8.41905623110173
"NAT1",8.02999926475027,7.90699042579602,7.88741391818878,8.10040559704102,8.06134342616081,8.11164723205159
"NAT10",8.78722406004601,8.73975041304358,8.73378436841789,9.11449174175265,9.16949736012621,9.2173403099031
"NAT14",8.19725789615136,8.26250344955232,8.15124472080136,7.67502727631361,7.66880325013898,7.8374758952673
"NAT16",5.22001868215344,5.05433938845346,5.14300662006321,5.03807512698546,5.08152927039447,4.97274773935762
"NAT2",3.40933338680578,3.45622237252273,3.43352585347963,3.6968057342767,3.27090394587646,3.39033665430506
"NAT6",6.15634781491372,6.05671892495775,6.19559104935936,5.51262070415434,5.65722190182997,5.61993756743408
"NAT8",4.29973523050046,4.42563234687564,4.39330095416756,4.29224051966051,4.3895306921983,4.33937196610828
"NAT8B",5.00598222867436,4.85126886137191,5.01120285623997,5.0010144847932,5.02035912375244,5.01285461061254
"NAT8L",6.25708423565136,6.26380681357854,6.41726560465745,6.52534755163522,6.47550056035643,6.42176312272937
"NAT9",9.03264769993814,9.0208469345359,9.02012806472852,10.2882340891562,10.2708781456341,10.291775724398
"NATD1",5.65870605116446,5.75169129981339,5.77442019058559,6.79396412419969,6.87913473524154,6.80553566864896
"NAV1",7.02339489189324,6.87686804947519,6.94423658278829,5.78458244581996,5.86599425801109,5.89022974567364
"NAV2",7.73928019019472,7.89960388818223,7.7893001618883,8.12532658393079,8.16562763105683,8.15530501938916
"NAV3",8.14697849898232,8.20929985368075,8.16957207804042,9.67833425011188,9.72943913027872,9.76492528895972
"NBAS",8.13646635615627,8.15100269697886,8.10347645318241,8.72264190852441,8.87192920034922,8.83692928754054
"NBEA",4.80126986500787,4.8583494675678,4.57419399479562,5.01810327846335,5.02414756134845,5.10367182485315
"NBEAL1",5.29076136054077,5.30576207740017,5.48081974327266,5.56899240641413,5.50850699654687,5.84555236868975
"NBEAL2",6.95197370351222,6.92467124293816,6.88698094154072,6.50484703247156,6.43461204040364,6.57440414258071
"NBN",9.30684992680392,9.36280909847436,9.24930794425819,9.16273177748037,9.21749849110564,9.16301086515489
"NBPF1",9.09115611682593,9.16654396549467,9.10174050994672,8.70539432125191,8.78689293652527,8.76703134516238
"NBPF11 /// NBPF12 /// NBPF15 /// NBPF19 /// NBPF20 /// NBPF26 /// NBPF8 /// NBPF9",11.8334475128122,11.8638450800794,11.8647269053559,12.3441901365518,12.3077793899031,12.2753236562294
"NBPF11 /// NBPF8",11.0714781108226,11.1041959983611,11.0246183973922,11.6485416736794,11.6787658527751,11.5730395816963
"NBPF15 /// NBPF20 /// NBPF26 /// NBPF8",11.3115284315155,11.4061232582716,11.3496391102254,11.6791617659023,11.705104565482,11.5913793770343
"NBPF22P /// NBPF4 /// NBPF6",4.01975319416039,4.04601291513415,3.93863813615311,4.01975319416039,4.05476615545874,4.08995666907176
"NBPF3",4.9824935393748,4.93498153633405,5.03844692881468,4.6681352591152,4.73432506460673,4.62507352023612
"NBPF4",3.47943585719905,3.57753148150643,3.62919446551406,3.90817665658117,3.76791159436781,3.88641122829384
"NBPF7",3.36372961913203,3.41424160217579,3.53146067986282,3.46592474566198,3.20206732086487,3.3512441160318
"NBPF8",7.11152827301889,7.14545813472255,7.18192533906964,7.66750457823169,7.66776836768675,7.66336407780525
