"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PEX16",-0.38096212035374,7.89256099029678,-8.94485823991401,3.83328168787477e-05,0.000123062067486056,1.52386442106125
"RPL36",-0.298151837540123,10.5675045698546,-8.94158588390634,3.84261335456612e-05,0.000123341931617558,1.52113004435511
"POLR2H",0.303775453641865,10.6626082089847,8.93867291596067,3.85094173918948e-05,0.000123589507654013,1.51869526308393
"PPP1R9A",-0.43806751003528,6.39028726292328,-8.93460558540471,3.86260463092523e-05,0.000123944002887845,1.51529449943152
"JMY",-0.444447618864031,6.14966891861388,-8.93398109113067,3.86439886848619e-05,0.0001239670557979,1.51477223386398
"ZNF10",-0.645297998025587,6.10302499590003,-8.93392588035492,3.86455754008491e-05,0.0001239670557979,1.51472605952517
"USP12",-0.380764993268781,8.15582403086473,-8.93126924757473,3.87220119768635e-05,0.000124192412734482,1.51250395831361
"RAB6A /// RAB6C /// WTH3DI",0.330824739054608,8.67461240807813,8.93011461934111,3.87552860923503e-05,0.000124279285626499,1.51153801320178
"INTS4 /// INTS4P1 /// INTS4P2",0.37005813406678,7.57305067358853,8.92847400815283,3.8802620793541e-05,0.000124411212646468,1.51016532109761
"MKRN2",-0.337361783861514,8.57647299891131,-8.92677997828075,3.88515652003281e-05,0.000124548257858482,1.50874771110944
"POC1B",0.307957603414109,7.88954769161409,8.92364561506959,3.89423079618564e-05,0.000124800505063037,1.50612419439052
"RBMS2",-0.393117370632224,7.38945565832795,-8.92363281556169,3.89426790096619e-05,0.000124800505063037,1.50611347938991
"TDRKH",0.508394946163611,6.22742047097297,8.91953330995414,3.9061726037579e-05,0.00012516204622507,1.50268094736609
"HSD17B7",-0.392250985032232,6.23993126593584,-8.91845338646784,3.90931546324895e-05,0.00012524276880506,1.50177650241849
"HIP1",0.373453701812248,6.38749107209146,8.91695702213849,3.91367499194209e-05,0.000125362437859912,1.5005231325462
"AAGAB",-0.373929867230018,8.56452351632257,-8.91242779114654,3.92690398775784e-05,0.000125766129309725,1.49672832477292
"SEMA4D",-0.342645413267359,4.94144048128189,-8.90954984535922,3.93533612036639e-05,0.000126016088395151,1.49431620067198
"RPS14",-0.297190982564732,12.7103925662947,-8.90701992110691,3.94276545822101e-05,0.000126233861729493,1.49219522660351
